name,begin_date_year,type,tag_name,tag_count
05:45,2007,2,black metal,1
13,1979,2,punk,1
21,1980,2,punk,1
47,2001,2,electronic,1
91,1981,2,indie rock,2
112,1996,2,pop,1
311,1988,2,rock,2
666,1997,2,techno,1
883,1991,2,pop,1
999,1976,2,punk,1
1349,1997,2,black metal,5
1976,1996,2,indie rock,2
1984,1985,2,new wave,1
12012,2003,2,rock,1
!Action Pact!,1981,2,punk,1
#####,2001,2,alternative,1
$wingin’ Utter$,1987,2,punk,2
(Julia),1999,2,rock,1
(V.E.G.A.),1998,2,black metal,1
*NSYNC,1995,2,teen pop,1
*shels,2003,2,sludge metal,1
...Aaaarrghh...,1994,2,black metal,1
...revel in the morning,2003,2,punk,1
.computer..,2005,2,electro,1
.Dissonanza.,2002,2,punk,1
.moneen.,1999,2,emo,1
/Speed\Kill/Hate\,2002,2,heavy metal,1
:wumpscut:,1991,2,electronic,3
@patía No,1996,2,punk,1
[:SITD:],1996,2,electronic,2
[iks],1996,2,jazz,1
[spunge],1997,2,ska,1
[T.3.R],2002,2,industrial,1
+2dB,2011,2,electronica,1
קוקו בלוף והיתושים,1990,2,punk,1
0 X í S T,2008,2,doom metal,1
0AD,2004,2,trance,1
1 Giant Leap,2001,2,house,1
1 Shot 2 Many,2006,2,blues,1
1. Mai 87,1987,2,punk,1
1.5 кг,1997,2,punk,1
10 Ft. Ganja Plant,2000,2,dub,1
10 Minute Warning,1982,2,punk,1
10 Years,1999,2,rock,1
"10,000 Maniacs",1981,2,jangle pop,2
100 Flowers,1981,2,punk,1
100 robots,2009,2,rock,1
100 Watt Vipers,2013,2,blues rock,1
1000 Ohm,1980,2,new wave,1
1000mods,2005,2,rock,1
100pcrm,2013,2,grunge,1
10cc,1972,2,pop,2
12 Stones,2000,2,rock,3
1200 Micrograms,1999,2,electronica,1
121 Crew,2000,2,rap,1
130 по встречной на старенькой Vespa,2012,2,pop,1
13ème Section,1983,2,punk,1
13Rituals,2008,2,death metal,1
13th Floor Elevators,1965,2,garage rock,1
13th Floor Elevators,1965,2,acid rock,1
14 Iced Bears,1985,2,indie rock,1
16 Bit,2007,2,dubstep,2
16 Guns,1982,2,punk,1
16 Horsepower,1992,2,folk,0
16volt,1991,2,industrial metal,3
16volt,1991,2,industrial,1
17 Hippies,1995,2,pop,1
17 Hippies,1995,2,folk,1
1derlying,2009,2,electronic,1
1derlying,2009,2,black metal,1
2 Hours Late,2013,2,rock,1
2 in a Room,1987,2,house,1
2 Minutos,1987,2,hardcore punk,1
2 plus 1,1971,2,pop,1
2 Sick Monkeys,2000,2,punk,1
2 Times Terror,2006,2,industrial metal,1
2 Unlimited,1991,2,pop,1
20 minutes de chaos,1997,2,punk,1
200 North,1998,2,punk,1
206和思想者,1999,2,black metal,1
21st Century Goliath,2011,2,rock,1
22‐Pistepirkko,1980,2,rock,1
22cats,2002,2,rock,1
28 Days,1997,2,rock,2
2CELLOS,2011,2,classical,1
2far2jump,2015,2,alternative,0
2Hurt,2008,2,folk,1
2kilos &More,2003,2,electronica,1
2PU,2001,2,rap metal,1
2raumwohnung,2000,2,pop,1
3 Daft Monkeys,2000,2,folk,1
3 Doors Down,1996,2,rock,2
3 Doors Down,1996,2,southern rock,1
3 Inches of Blood,1999,2,power metal,1
3 Screaming Popes,2010,2,rock,1
30 Seconds to Mars,1998,2,rock,3
30 Seconds to Mars,1998,2,electronic,1
30footFALL,1993,2,punk,2
31hours,2012,2,rock,1
31hours,2012,2,alternative,1
31Knots,1997,2,indie rock,1
33Canales,2007,2,downtempo,1
33revolutions,2008,2,alternative,1
36 Crazyfists,1994,2,metalcore,1
38 Dub Band,1995,2,reggae,1
38 Special,1974,2,southern rock,1
3JS,2002,2,pop idol,1
3OH!3,2004,2,electronic,1
3RD Season,2016,2,alternative,1
3RD Season,2016,2,folk,1
3-Way Cum,1992,2,punk,1
4 in Love,2000,2,pop,1
