date_time,value
01/01/2007 00:00:00,blues rock
01/01/1969 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2006 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2000 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/1997 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2003 00:00:00,blues rock
01/01/1992 00:00:00,blues rock
01/01/2006 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/1996 00:00:00,blues rock
01/01/1991 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/1989 00:00:00,blues rock
01/01/2004 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2005 00:00:00,blues rock
01/01/2003 00:00:00,blues rock
01/01/1997 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2002 00:00:00,blues rock
01/01/2000 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/1958 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2006 00:00:00,blues rock
01/01/2002 00:00:00,blues rock
01/01/2003 00:00:00,blues rock
01/01/2003 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2005 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/1995 00:00:00,blues rock
01/01/2001 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2006 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/1996 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2006 00:00:00,blues rock
01/01/1998 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2001 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/1988 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/1983 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/1987 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/1985 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/1997 00:00:00,blues rock
01/01/1998 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/1982 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2002 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/1997 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2000 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2000 00:00:00,blues rock
01/01/2005 00:00:00,blues rock
01/01/2000 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/1994 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2012 00:00:00,blues rock
01/01/2005 00:00:00,blues rock
01/01/2011 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2006 00:00:00,blues rock
01/01/2006 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2015 00:00:00,blues rock
01/01/2005 00:00:00,blues rock
01/01/2009 00:00:00,blues rock
01/01/2014 00:00:00,blues rock
01/01/2013 00:00:00,blues rock
01/01/2007 00:00:00,blues rock
01/01/2010 00:00:00,blues rock
01/01/2001 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
01/01/2008 00:00:00,blues rock
