date_time,text,value
01/01/2006 00:00:00,Fistral Backpackers,psychedelic / garage
01/01/1988 00:00:00,808 State,house
01/01/1985 00:00:00,Phuture,house
01/01/1981 00:00:00,Psychic TV,house
01/01/2010 00:00:00,supermad,house
01/01/1988 00:00:00,The KLF,house
01/01/1991 00:00:00,Corduroy,jungle / drum'n'bass
01/01/1979 00:00:00,Incognito,jungle / drum'n'bass
01/01/1985 00:00:00,The James Taylor Quartet,jungle / drum'n'bass
01/01/1965 00:00:00,13th Floor Elevators,psychedelic / garage
01/01/1966 00:00:00,Blue Cheer,psychedelic / garage
01/01/1965 00:00:00,Country Joe and the Fish,psychedelic / garage
01/01/1968 00:00:00,Edgar Broughton Band,psychedelic / garage
01/01/1967 00:00:00,Frijid Pink,psychedelic / garage
01/01/1979 00:00:00,Fyrce Muons,psychedelic / garage
01/01/1966 00:00:00,Iron Butterfly,psychedelic / garage
01/01/1965 00:00:00,Jefferson Airplane,psychedelic / garage
01/01/1965 00:00:00,Quicksilver Messenger Service,psychedelic / garage
01/01/2014 00:00:00,Shayk,psychedelic / garage
01/01/2011 00:00:00,Slow Season,psychedelic / garage
01/01/1966 00:00:00,The Jimi Hendrix Experience,psychedelic / garage
01/01/2008 00:00:00,The Re-Stoned,psychedelic / garage
01/01/1965 00:00:00,The Seeds,psychedelic / garage
01/01/1993 00:00:00,All??ê4??êOne,soft rock
01/01/1984 00:00:00,Breathe,soft rock
01/01/2008 00:00:00,Leaving Atlantis,soft rock
01/01/1988 00:00:00,Shakespears Sister,soft rock
01/01/1985 00:00:00,Simply Red,soft rock
01/01/1977 00:00:00,Survivor,soft rock
01/01/1989 00:00:00,Wilson Phillips,soft rock
01/01/2009 00:00:00,John the Baptist,alternative country
01/01/2013 00:00:00,Morganway,alternative country
01/01/2008 00:00:00,Other in June,alternative country
01/01/2003 00:00:00,Brazilian Girls,alternative / indie rock
01/01/1998 00:00:00,Doves,alternative / indie rock
01/01/1989 00:00:00,Electronic,alternative / indie rock
01/01/2007 00:00:00,Holy Ghost!,alternative / indie rock
01/01/1999 00:00:00,Iris,alternative / indie rock
01/01/2009 00:00:00,IS TROPICAL,alternative / indie rock
01/01/1987 00:00:00,My Life With the Thrill Kill Kult,alternative / indie rock
01/01/1986 00:00:00,Pop Will Eat Itself,alternative / indie rock
01/01/2002 00:00:00,The Bright Light Social Hour,alternative / indie rock
01/01/2007 00:00:00,The Limousines,alternative / indie rock
01/01/1990 00:00:00,The Other Two,alternative / indie rock
01/01/1998 00:00:00,The Rapture,alternative / indie rock
01/01/2013 00:00:00,The Dogstooth,contemporary folk
01/01/2013 00:00:00,The Weather Machine,contemporary folk
01/01/2002 00:00:00,55 Escape,heavy metal
01/01/2005 00:00:00,Adelitas Way,heavy metal
01/01/1998 00:00:00,Adema,heavy metal
01/01/2005 00:00:00,Art of Dying,heavy metal
01/01/2002 00:00:00,bloodsimple,heavy metal
01/01/1998 00:00:00,Breaking Benjamin,heavy metal
01/01/2004 00:00:00,Corroded,heavy metal
01/01/2007 00:00:00,Dead by April,heavy metal
01/01/2000 00:00:00,Deadkedù?,heavy metal
01/01/1988 00:00:00,Deftones,heavy metal
01/01/1993 00:00:00,Die Happy,heavy metal
01/01/1996 00:00:00,Diecast,heavy metal
01/01/1996 00:00:00,Disturbed,heavy metal
01/01/1995 00:00:00,Emil Bulls,heavy metal
01/01/1995 00:00:00,Evanescence,heavy metal
01/01/1981 00:00:00,Faith No More,heavy metal
01/01/1995 00:00:00,Flaw,heavy metal
01/01/1989 00:00:00,Fuel,heavy metal
01/01/2003 00:00:00,Heavy Vladimir,heavy metal
01/01/2006 00:00:00,Hellyeah,heavy metal
01/01/2007 00:00:00,Icon for Hire,heavy metal
01/01/1986 00:00:00,Jane???s Addiction,heavy metal
01/01/1989 00:00:00,Life of Agony,heavy metal
01/01/1997 00:00:00,Lostprophets,heavy metal
01/01/2014 00:00:00,Lunapar,heavy metal
01/01/1992 00:00:00,Marilyn Manson,heavy metal
01/01/1995 00:00:00,Murderdolls,heavy metal
01/01/2010 00:00:00,N?¶mph,heavy metal
01/01/2005 00:00:00,New Years Day,heavy metal
01/01/1999 00:00:00,Nocturne,heavy metal
01/01/2012 00:00:00,Persona,heavy metal
01/01/2002 00:00:00,Poets of the Fall,heavy metal
01/01/2008 00:00:00,Ravenscry,heavy metal
01/01/2014 00:00:00,Saint Asonia,heavy metal
01/01/1995 00:00:00,Siddharta,heavy metal
01/01/2005 00:00:00,Silent Civilian,heavy metal
01/01/2005 00:00:00,Skizoo,heavy metal
01/01/1995 00:00:00,Slipknot,heavy metal
01/01/2008 00:00:00,Smash Into Pieces,heavy metal
01/01/1997 00:00:00,Soulfly,heavy metal
01/01/1995 00:00:00,Staind,heavy metal
01/01/1994 00:00:00,System of a Down,heavy metal
01/01/2009 00:00:00,The Cyon Project,heavy metal
01/01/2008 00:00:00,The Escape Clause,heavy metal
01/01/2015 00:00:00,Through Fire,heavy metal
01/01/2008 00:00:00,Turbowolf,heavy metal
01/01/2008 00:00:00,Urban Vitamin,heavy metal
01/01/2004 00:00:00,6 Day Riot,alternative / indie rock
01/01/2014 00:00:00,Concrete Wildlife,alternative / indie rock
01/01/2013 00:00:00,Jarbird,alternative / indie rock
01/01/2015 00:00:00,Mudante,alternative / indie rock
01/01/2012 00:00:00,The American Pilot,alternative / indie rock
01/01/2010 00:00:00,Years & Years,contemporary r&b
01/01/1988 00:00:00,The Grid,house
01/01/2011 00:00:00,American Anodyne,alternative country
01/01/2010 00:00:00,Bonnie & The Clydes,alternative country
01/01/2012 00:00:00,Crawdad Republic,alternative country
01/01/2015 00:00:00,Dead & Company,alternative country
01/01/2002 00:00:00,dreamachine,alternative country
01/01/2011 00:00:00,Grassoline,alternative country
01/01/2014 00:00:00,Hobos in Dust,alternative country
01/01/2011 00:00:00,Houndmouth,alternative country
01/01/2007 00:00:00,Hurray for the Riff Raff,alternative country
01/01/2013 00:00:00,Loud Mountains,alternative country
01/01/2016 00:00:00,Penque-Diomede Band,alternative country
01/01/1995 00:00:00,Red Wanting Blue,alternative country
01/01/2011 00:00:00,Scowlin Owl,alternative country
01/01/2008 00:00:00,Sky Pilot,alternative country
01/01/2000 00:00:00,Songdog,alternative country
01/01/2012 00:00:00,Sons of the Lighthouse,alternative country
01/01/2006 00:00:00,Sweet Crude Bill,alternative country
01/01/2001 00:00:00,The Damnwells,alternative country
01/01/2012 00:00:00,The Jellyman's Daughter,alternative country
01/01/2010 00:00:00,The Midnight Union Band,alternative country
01/01/2009 00:00:00,The Wilsons,alternative country
01/01/2004 00:00:00,Tin Hat,alternative country
01/01/1997 00:00:00,Tin Hat Trio,alternative country
01/01/2009 00:00:00,Trigger and Some Dudes Named Roy,alternative country
01/01/2015 00:00:00,Twelfth Fret,alternative country
01/01/2013 00:00:00,Veloninos,alternative country
01/01/1995 00:00:00,Willard Grant Conspiracy,alternative country
01/01/2004 00:00:00,"Wood, Wire & Words",alternative country
01/01/2009 00:00:00,Enderby's Room,contemporary folk
01/01/2010 00:00:00,4POST,art-rock / experimental
01/01/2004 00:00:00,A State of Flux,art-rock / experimental
01/01/1994 00:00:00,???And You Will Know Us by the Trail of Dead,art-rock / experimental
01/01/1966 00:00:00,Barclay James Harvest,art-rock / experimental
01/01/2001 00:00:00,Blackfield,art-rock / experimental
01/01/2004 00:00:00,COSM,art-rock / experimental
01/01/1978 00:00:00,?êù???ù???????,art-rock / experimental
01/01/2009 00:00:00,Django Django,art-rock / experimental
01/01/2008 00:00:00,Dutch Uncles,art-rock / experimental
01/01/1978 00:00:00,????????????,art-rock / experimental
01/01/1970 00:00:00,Electric Light Orchestra,art-rock / experimental
01/01/1995 00:00:00,Elysian Fields,art-rock / experimental
01/01/1997 00:00:00,Faun Fables,art-rock / experimental
01/01/2010 00:00:00,Feorm,art-rock / experimental
01/01/2004 00:00:00,Field Music,art-rock / experimental
01/01/1989 00:00:00,Jellyfish,art-rock / experimental
01/01/1995 00:00:00,Karma Lingo,art-rock / experimental
01/01/1986 00:00:00,King Missile,art-rock / experimental
01/01/1998 00:00:00,Little Mono,art-rock / experimental
01/01/1998 00:00:00,Logh,art-rock / experimental
01/01/2008 00:00:00,Lunatic Soul,art-rock / experimental
01/01/1991 00:00:00,Moonlight,art-rock / experimental
01/01/2005 00:00:00,mr. Gnome,art-rock / experimental
01/01/2007 00:00:00,PERIPLO,art-rock / experimental
01/01/1999 00:00:00,Phase,art-rock / experimental
01/01/2005 00:00:00,Ponytail,art-rock / experimental
01/01/2016 00:00:00,Preoccupations,art-rock / experimental
01/01/1967 00:00:00,Quill,art-rock / experimental
01/01/1971 00:00:00,Roxy Music,art-rock / experimental
01/01/2008 00:00:00,TCP,art-rock / experimental
01/01/1975 00:00:00,The Alan Parsons Project,art-rock / experimental
01/01/2001 00:00:00,The Mars Volta,art-rock / experimental
01/01/2001 00:00:00,The Veils,art-rock / experimental
01/01/1997 00:00:00,Thee Oh Sees,art-rock / experimental
01/01/1977 00:00:00,Virgin Prunes,art-rock / experimental
01/01/1999 00:00:00,Votchi,art-rock / experimental
01/01/2011 00:00:00,We Could Build an Empire,art-rock / experimental
01/01/1969 00:00:00,Wishbone Ash,art-rock / experimental
01/01/1968 00:00:00,Yes,art-rock / experimental
01/01/1998 00:00:00,Zenit,art-rock / experimental
01/01/1968 00:00:00,Carpenters,pop / rock
01/01/1991 00:00:00,Fool???s Garden,pop / rock
01/01/2006 00:00:00,Hey Marseilles,pop / rock
01/01/2007 00:00:00,Kalafina,pop / rock
01/01/2007 00:00:00,Paper Bird,pop / rock
01/01/2000 00:00:00,The Decemberists,pop / rock
01/01/1967 00:00:00,The Free Design,pop / rock
01/01/1965 00:00:00,The Left Banke,pop / rock
01/01/1964 00:00:00,The Moody Blues,pop / rock
01/01/1961 00:00:00,The Zombies,pop / rock
01/01/2008 00:00:00,Benin City,pop-rap
01/01/2013 00:00:00,Bowker,pop-rap
01/01/2007 00:00:00,CelloBassMetal,pop-rap
